Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
abrasive,adj,459,26,5.153846,1.084152,16,5.1875,0.9105859,10,5.1,1.37032,,,
absolve,,492,21,4.52381,1.249762,13,4.692308,1.493576,8,4.25,0.7071068,,,
absurd,adj,298,26,4.192308,0.8494342,14,4.357143,0.7449463,12,4,0.9534626,4.26,4.36,4.73
abundant,adj,515,24,4.083333,1.248187,10,4.5,1.080123,14,3.785714,1.311404,6.59,5.51,5.8
abuse,v,597,32,5.03125,1.204411,14,5.142857,1.231456,18,4.944444,1.21133,1.8,6.83,3.69
acceptance,n,153,30,3.3,0.9878573,17,3.352941,0.9314757,13,3.230769,1.091928,7.98,5.4,6.64
accord,n,553,20,4.2,1.281447,12,4.416667,1.1645,8,3.875,1.457738,,,
ache,,435,44,4.340909,1.160256,25,4.32,1.375984,19,4.368421,0.8306976,2.46,5,3.54
acheivement,,37,22,4.363636,1.328997,11,4.363636,1.629278,11,4.363636,1.026911,7.89,5.53,6.56
active,,552,25,4.92,1.320353,15,5.2,1.612452,10,4.5,0.5270463,,,
admiring,adj,2,15,3.333333,1.397276,9,3.111111,1.615893,6,3.666667,1.032796,7.74,6.11,7.53
adorable,,667,25,2.2,1.040833,9,2.222222,1.092906,16,2.1875,1.046821,7.81,5.12,5.74
adulterous,adj,413,19,4.526316,1.611363,10,4.4,1.712698,9,4.666667,1.581139,,,
adversity,n,263,24,4.791667,1.102533,16,5.1875,1.108678,8,4,0.5345225,,,
affectionate,adj,618,27,3.296296,1.636479,13,3.923077,1.800997,14,2.714286,1.266647,8.39,6.21,6.08
afflict,,385,19,4.263158,1.367971,7,3.714286,1.496026,12,4.583333,1.240112,,,
affluent,adj,683,26,4.269231,1.079173,13,4.307692,1.315587,13,4.230769,0.8320503,,,
afraid,adj,403,21,3.809524,1.435933,13,3.769231,1.640825,8,3.875,1.125992,2,6.67,3.98
aged,,446,20,4.35,1.308877,4,5.5,1.290994,16,4.0625,1.181454,,,
agency,,117,20,4.1,1.209611,9,4.777778,1.20185,11,3.545455,0.9341987,,,
aggressive,adj,49,20,5,1.863782,9,4.333333,1.936492,11,5.545455,1.694912,5.1,5.83,5.59
agitated,adj,517,24,4.958333,1.160179,10,5.4,1.349897,14,4.642857,0.9287827,,,
agony,n,33,22,4.590909,1.007547,11,4.909091,1.136182,11,4.272727,0.7862454,2.43,6.06,4.02
agreement,n,160,30,3.766667,1.072648,17,3.647059,1.169464,13,3.923077,0.9540736,7.08,5.02,6.22
airhead,n,217,25,4.2,1.755942,14,3.857143,1.703261,11,4.636364,1.804036,,,
alluring,adj,600,31,2.677419,1.535949,13,3.307692,1.93152,18,2.222222,1.003263,,,
aloof,adj,317,25,4.24,1.2,12,4.083333,1.083625,13,4.384615,1.325296,4.9,4.28,4.69
amazing,adj,128,26,3.576923,1.137474,19,3.526316,1.218762,7,3.714286,0.9511897,,,
ambition,n,138,28,4.5,1.071517,16,4.6875,1.138347,12,4.25,0.9653073,7.04,5.61,6.93
ambitious,adj,691,26,4.461538,1.33359,13,4.692308,1.548366,13,4.230769,1.091928,,,
ample,adj,669,25,2.92,1.077033,9,3,1.414214,16,2.875,0.8850612,,,
analytical,,558,20,4.85,1.225819,12,4.666667,1.302678,8,5.125,1.125992,,,
ancient,,227,20,4.1,1.071153,12,4.25,0.9653073,8,3.875,1.246423,,,
anguish,n,205,27,4.111111,0.9740215,12,4.333333,1.230915,15,3.933333,0.7037316,2.12,5.33,3.45
annihilation,,155,30,4.9,1.422722,17,4.823529,1.550617,13,5,1.290994,,,
annoy,v,163,23,4.434783,1.160959,13,4.384615,1.38675,10,4.5,0.8498366,2.74,6.49,5.09
annoying,adj,323,17,4.176471,1.185079,5,4,1.224745,12,4.25,1.215431,,,
antagonize,v,179,16,5,1.460593,10,4.9,1.197219,6,5.166667,1.94079,,,
anticipate,v,585,19,4.368421,1.211543,13,4.384615,1.192928,6,4.333333,1.36626,,,
anticipation,n,283,22,3.818182,1.052723,12,3.916667,1.240112,10,3.7,0.8232726,,,
antiquity,,580,21,4.047619,1.283596,9,3.666667,1.414214,12,4.333333,1.154701,,,
anxiety,n,655,20,3.8,1.43637,8,4.5,1.690309,12,3.333333,1.073087,,,
anxious,adj,69,26,3.769231,1.106623,13,3.923077,1.115164,13,3.615385,1.120897,4.81,6.92,5.33
appreciate,v,271,24,3.541667,1.503016,16,3.75,1.48324,8,3.125,1.552648,,,
apprehensive,,513,24,4.041667,1.573674,10,4.3,1.766981,14,3.857143,1.460092,,,
arm,,309,25,4.64,1.439907,11,4.818182,1.47093,14,4.5,1.454436,5.34,3.59,5.07
arrogant,,453,26,5.192308,1.470217,16,5.25,1.48324,10,5.1,1.523884,3.69,5.65,5.14
aspiration,n,84,33,3.939394,1.412874,14,3.785714,1.528125,19,4.052632,1.352926,,,
assault,,71,35,5.4,1.264911,16,5.6875,1.078193,19,5.157895,1.384965,2.03,7.51,3.94
assertive,adj,676,23,4.782609,1.277658,12,4.666667,1.370689,11,4.909091,1.221028,,,
athlete,,302,26,5.230769,1.704293,14,5.571429,1.34246,12,4.833333,2.037527,,,
athletic,adj,493,32,5.09375,1.352641,21,5.047619,1.532194,11,5.181818,0.9816498,6.61,6.1,6.12
attainment,,601,32,4.5,1.107161,14,4.857143,1.460092,18,4.222222,0.6467617,,,
attractive,,164,23,2.826087,1.266785,13,3,1.47196,10,2.6,0.9660918,,,
audacious,adj,424,27,4.333333,1.270978,15,4.4,1.352247,12,4.25,1.215431,,,
authority,,318,25,5.32,1.069268,12,5.166667,0.9374369,13,5.461538,1.198289,,,
authorization,n,86,33,4.666667,1.108678,14,4.642857,1.277446,19,4.684211,1.00292,,,
autonomy,,288,22,4.5,1.336306,12,4.833333,1.585923,10,4.1,0.875595,,,
award,,329,17,3.764706,1.20049,5,3.8,0.4472136,12,3.75,1.422226,,,
awful,adj,167,23,4.73913,0.9153932,13,5,0.9128709,10,4.4,0.843274,,,
bacteria,,162,23,4.391304,0.8387832,13,4.615385,1.043908,10,4.1,0.3162278,,,
bake,,38,22,2.772727,1.151885,11,2.636364,1.206045,11,2.909091,1.136182,6.17,5.1,5.49
baker,,32,22,3.454545,1.534594,11,3.090909,1.700267,11,3.818182,1.32802,,,
barbecue,,677,23,5.086957,0.9960396,12,5,0.9534626,11,5.181818,1.07872,,,
beautiful,,586,19,2.210526,1.315673,13,2.307692,1.493576,6,2,0.8944272,7.6,6.17,6.29
becoming,,277,30,3.366667,1.217214,14,3.071429,1.141139,16,3.625,1.258306,,,
belief,n,315,25,3.24,0.8306624,12,3.083333,0.7929615,13,3.384615,0.8697185,,,
benevolent,adj,13,26,3.846154,1.286618,12,4.083333,1.1645,14,3.642857,1.392681,,,
betray,v,281,30,4.333333,1.184187,14,3.857143,1.460092,16,4.75,0.6831301,1.68,7.24,4.92
bewilder,v,29,28,4.071429,1.412342,17,3.764706,1.480262,11,4.545455,1.21356,,,
bird,,362,27,3.222222,1.250641,13,3.153846,1.675617,14,3.285714,0.726273,7.27,3.17,4.42
bitchy,adj,467,30,2.666667,1.88155,14,2.857143,2.213843,16,2.5,1.591645,,,
bitter,adj,562,20,4.35,1.225819,12,4,1.3484,8,4.875,0.834523,,,
black,,611,24,4.333333,0.9630868,10,4.4,1.264911,14,4.285714,0.726273,5.39,4.61,5.14
blackmail,v,387,19,5.263158,1.194529,7,5.142857,1.46385,12,5.333333,1.073087,2.95,6.03,3.54
blade,,681,23,5.478261,0.8979555,12,5.416667,0.7929615,11,5.545455,1.035725,,,
blare,,345,28,4.5,1.20185,15,4.466667,0.9904304,13,4.538462,1.450022,,,
bless,v,406,21,3.142857,1.276155,13,2.846154,1.143544,8,3.625,1.407886,7.19,4.05,5.52
blossoming,,488,21,3.428571,2.134747,13,4.076923,2.059998,8,2.375,1.92261,,,
blue,,649,32,4.1875,1.354503,20,4.45,1.468081,12,3.75,1.05529,6.76,4.31,5.63
blunder,n,180,16,4.5,1.316561,10,4.3,1.251666,6,4.833333,1.47196,,,
boast,,365,21,5.380952,0.9734573,16,5.625,0.8850612,5,4.6,0.8944272,,,
body,,216,24,3.791667,1.444003,13,3.846154,1.405119,11,3.727273,1.55505,5.55,5.52,5.34
boil,,114,20,4.3,0.8013147,9,4.333333,0.8660254,11,4.272727,0.7862454,,,
